id_candidatura,nome_urna,nome_candidato,fb_id,nome_cidade,sigla_estado,numero_partido,nota_partido,sigla_partido,Adoção por famílias LGBTs,Respeito à identidade de gênero de pessoas trans,Cota para mulheres no legislativo,Igualdade de gênero e raça nas escolas,Ações afirmativas raciais,Estado Laico,Combate à violência contra mulher,Descriminalização do aborto,Criminalização da LGBTfobia,Desmilitarização da polícia,Desapropriação por interesse social,Defesa do meio ambiente,Orçamento participativo,Transparência,votos_recebidos,cor_tse,genero,situacao_candidatura,situacao_eleitoral
333,João Junior,João Junior,1205908809430095,Rio de Janeiro,RJ,40,56,PSB,S,S,S,S,S,S,S,S,S,S,S,S,S,S,934,PRETA,MASCULINO,DEFERIDO,NÃO ELEITO
122,Roberto Carvalho Goes,Beto Goes,1163766503686980,Belo Horizonte,MG,31,30,PHS,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1102,PARDA,MASCULINO,DEFERIDO,SUPLENTE
226,Erton Serafim Araujo,Erton Serafim Araujo,1064782693635035,Recife,PE,31,30,PHS,S,S,S,S,S,N,S,N,N,N,N,S,S,S,105,BRANCA,MASCULINO,DEFERIDO,NÃO ELEITO
258,POLIANA SANTOS,Poliana Santos,1074645165946561,Londrina,PR,13,90,PT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1172,PRETA,FEMININO,DEFERIDO,NÃO ELEITO
346,Guilherme Cohen,Guilherme Cohen,1440285375987510,Rio de Janeiro,RJ,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1890,PARDA,MASCULINO,DEFERIDO,SUPLENTE
312,Renato Cinco,Mariana Jardim Reis,1203623993030321,Rio de Janeiro,RJ,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,17162,PARDA,MASCULINO,DEFERIDO,ELEITO POR QP
444,Renato Guimarães,Renato Moreli Guimarães,1142260995853659,Porto Alegre,RS,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1280,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
468,Daniel Antunes,Daniel Antunes,10153648425921710,Florianópolis,SC,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,441,PARDA,MASCULINO,DEFERIDO,SUPLENTE
419,Arilton Cardoso,Arilton Cardoso,757595064381925,Porto Alegre,RS,50,100,PSOL,S,N,N,S,S,N,S,N,N,N,S,N,S,S,990,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
230,Fábia,Fabia Andrade,1179009818836935,Recife,PE,55,14,PSD,S,S,S,S,S,S,S,S,S,N,S,N,S,S,57,PARDA,FEMININO,DEFERIDO,SUPLENTE
407,MARIO DAGO,Mario Dago,174896052918372,Porto Alegre,RS,13,90,PT,S,S,S,S,S,S,S,S,S,N,S,S,S,S,362,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
394,Luciano Victorino,Luciano Victorino,1102185213197686,Porto Alegre,RS,50,100,PSOL,S,S,S,S,S,N,S,S,S,S,S,S,S,S,1734,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
207,FÁBIO ASSIS,Fabio Assis,10153941300301864,Recife,PE,43,51,PV,S,S,N,S,S,S,S,N,S,N,S,S,S,S,816,BRANCA,MASCULINO,DEFERIDO,NÃO ELEITO
378,Rodrigo Furtado,Rodrigo Castilhos Furtado,1244992662212366,Porto Alegre,RS,30,50,NOVO,S,S,N,S,N,S,S,S,N,S,S,N,S,S,575,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
116,Fidélis Alcântara,Fidélis Alcântara,10154014469385914,Belo Horizonte,MG,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1751,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
741,PARAQUEDISTA  JOSIAS JANUARIO,Jonh Januario,300956203609510,São Paulo,SP,22,15,PR,S,S,S,S,S,S,S,S,N,S,S,S,S,S,108,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
689,Osvaldo Meneses,Osvaldo Meneses Meneses,756878971122064,São Paulo,SP,28,29,PRTB,S,S,N,S,S,S,S,S,S,N,S,S,S,S,449,BRANCA,MASCULINO,DEFERIDO,NÃO ELEITO
361,Glaucia Soares,Glaucia Soares,10205516886001363,Rio de Janeiro,RJ,30,50,NOVO,S,S,N,N,N,S,S,N,N,N,N,S,S,S,460,BRANCA,FEMININO,DEFERIDO,SUPLENTE
340,João Valois,João Valois,1103352966407646,Rio de Janeiro,RJ,51,26,PEN,S,S,S,N,S,S,S,N,S,N,N,S,S,S,1108,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
